"max","facilityname","concatenatedaddress","inspectionstatus"
"2015-10-01 00:00:00","MARBLE SLAB CREAMERY #47","1725 S VOSS HOUSTON TX 77057","PASS"
"2016-05-24 00:00:00","BROTHERS TACO HOUSE","1604 DOWLING HOUSTON TX 77003","FAIL"
"2015-08-01 00:00:00","EURASIA FUSION SUSHI","1330 WIRT RD HOUSTON TX 77055","PASS"
"2016-06-30 00:00:00","NATHAN'S FAMOUS HOT DOGS","303 MEMORIAL CITY MALL STE 727 HOUSTON TX 77024","PASS"
"2015-12-13 00:00:00","LA TAPATIA TAQUERIA","1749 RICHMOND HOUSTON TX 77098","PASS"
"2015-11-02 00:00:00","HK SEAFOOD WINGS & CHINESE FOOD","15834 S POST OAK HOUSTON TX 77053","PASS"
"2015-12-06 00:00:00","VINH-HOA CHINESE/VIETNAMESE RT","9600 BELLAIRE BLVD STE 126 HOUSTON TX 77036","PASS"
"2016-04-05 00:00:00","PERRY'S STEAKHOUSE & GRILLE","9827 KATY  FWY HOUSTON TX 77024","PASS"
"2016-05-21 00:00:00","A LY ORIENTAL FAST FOOD","11360 BELLAIRE BLVD STE 260 HOUSTON TX 77072","FAIL"
"2016-06-22 00:00:00","JULIA'S BISTRO","3722 MAIN HOUSTON TX 77002","PASS"
"2016-02-22 00:00:00","SHORT STOP FOOD MART","9421 ALMEDA GENOA RD HOUSTON TX 77075","PASS"
"2016-02-24 00:00:00","RX CATERING HOUSTON","9882 BUFFALO SPEEDWAY HOUSTON TX 77054","PASS"
"2015-11-02 00:00:00","DOMINO'S PIZZA #6652","7210 LAWNDALE STE R HOUSTON TX 77012","PASS"
"2016-02-12 00:00:00","GOODE COMPANY HAMBURGERS","4902 KIRBY DR HOUSTON TX 77098","PASS"
"2016-01-11 00:00:00","BEST WESTERN WESTCHASE SUITES","2950 W SAM HOUSTON PKWY S HOUSTON TX 77042","PASS"
"2015-09-15 00:00:00","BRIANNA'S  RESTAURANT","6002 ANTOINE DR STE E HOUSTON TX 77091","PASS"
"2015-10-01 00:00:00","SMALL STEPS NURTURING CENTER","1709 DEPELCHIN HOUSTON TX 77007","PASS"
"2015-08-11 00:00:00","KROGER #238","6749 AIRLINE HOUSTON TX 77076","PASS"
"2016-05-10 00:00:00","KC SEAFOOD AND GRILL","482 MAXEY RD HOUSTON TX 77013-5018","FAIL"
"2015-11-02 00:00:00","SHEPHERD PARK DRAUGHT HOUSE","3402 N SHEPHERD HOUSTON TX 77018","PASS"
"2016-01-27 00:00:00","CORPORATE CATERERS SOUTH HOUSTON","9200 S MAIN HOUSTON TX 77025","PASS"
"2015-12-09 00:00:00","KINDERWORLD","9241 S GESSNER HOUSTON TX 77074","PASS"
"2015-12-21 00:00:00","EIGHT ROW FLINT","1039 YALE ST HOUSTON TX 77008","PASS"
"2016-06-28 00:00:00","HUNAN STAR","2453 BAY AREA BLVD HOUSTON TX 77058","PASS"
"2016-03-18 00:00:00","QUIK MART","252 E CROSSTIMBERS HOUSTON TX 77022","PASS"
"2015-07-30 00:00:00","TAQUERIA FLORES    -   TEXAS","103 78TH ST HOUSTON TX 77012","PASS"
"2015-09-03 00:00:00","KINGWOOD BAGEL","2855 W LAKE HOUSTON PKWY STE 108 HUMBLE TX 77339-5234","PASS"
"2016-03-01 00:00:00","SUPER K FOOD STORE","2222 PARKER  RD HOUSTON TX 77093","PASS"
"2015-11-02 00:00:00","PAPA MURPHY'S","4562 KINGWOOD DR KINGWOOD TX 77345","PASS"
"2016-01-06 00:00:00","HARRISBURG CORNER STORE","3720 HARRISBURG  BLVD HOUSTON TX 77003-2540","PASS"
"2016-04-04 00:00:00","FIESTA LOMA LINDA  MEXICAN RESTAURANT","2111 TELEPHONE RD HOUSTON TX 77023","PASS"
"2016-06-20 00:00:00","BERRYHILL - OAK FOREST","1201 W 43RD ST HOUSTON TX 77018","PASS"
"2016-04-04 00:00:00","GARDEN  CAFE @ ONE RIVERWAY","777 POST OAK LN HOUSTON TX 77056","PASS"
"2016-05-27 00:00:00","BUSIBODIES ACADEMY","3920 ERIE ST HOUSTON TX 77087","PASS"
"2016-05-19 00:00:00","DONA CHELA TAQUERIA","3738 BROADWAY HOUSTON TX 77017","PASS"
"2016-03-10 00:00:00","HARMONY SCHOOL OF INGENUITY","10555 STELLA LINK HOUSTON TX 77025","PASS"
"2015-11-06 00:00:00","CARIBBEAN BLEND","1069 EDGEBROOK HOUSTON TX 77034","PASS"
"2015-11-23 00:00:00","EQUILIBRIUM HOLDINGS, LLC","1030 HEIGHTS BLVD HOUSTON TX 77008","PASS"
"2015-10-12 00:00:00","CARRITO CUBANO   -   SOUTHWEST","6200 BELLAIRE BLVD HOUSTON TX 77081","FAIL"
"2016-03-16 00:00:00","TACO CABANA #143","9220 GULF  FWY HOUSTON TX 77017","PASS"
"2016-04-26 00:00:00","LOS CHENCHITOS TAQUERIA - GUERO","125 E EDGEBROOK DR STE A HOUSTON TX 77034","PASS"
"2016-06-09 00:00:00","FOODARAMA MEAT","11502 WILCREST HOUSTON TX 77099","PASS"
"2016-05-06 00:00:00","SUN MART 138 (Texaco  Gasoline)","10611 EAST FWY HOUSTON TX 77029","PASS"
"2015-08-27 00:00:00","PIZZA HUT #312020","11230 NORTH  FWY HOUSTON TX 77037","PASS"
"2015-09-02 00:00:00","MEXICO'S DELI","2374 DAIRY ASHFORD HOUSTON TX 77077","FAIL"
"2016-06-17 00:00:00","FIESTA MART #10","12201 EAST  FWY HOUSTON TX 77015","PASS"
"2016-03-21 00:00:00","FUEL DEPOT #16","2134 BINGLE RD HOUSTON TX 77055","PASS"
"2016-01-20 00:00:00","AIRLINE SEAFOOD","1841 RICHMOND AVE HOUSTON TX 77098","PASS"
"2015-09-24 00:00:00","HOLY GHOST SCHOOL CAFETERIA","6920 CHIMNEY ROCK HOUSTON TX 77081","PASS"
"2015-12-23 00:00:00","AU BON PAIN","6400 FANNIN STE 218 HOUSTON TX 77030","PASS"
"2015-08-16 00:00:00","GULF DAILY DONG LOI SEAFOOD MARKET","11127 BELLAIRE BLVD HOUSTON TX 77072","PASS"
"2015-07-21 00:00:00","SONIC DRIVE-IN #515-4394","8504 MAIN HOUSTON TX 77025","PASS"
"2016-05-18 00:00:00","ACCEL AT HERMANN PARK","5600 CHENEVERT ST HOUSTON TX 77004","PASS"
"2015-10-21 00:00:00","MCCARTY CITGO","8870 NORTH LOOP EAST HOUSTTON TX 77029","PASS"
"2015-12-03 00:00:00","PINK'S PIZZA","3404 N SHEPHERD HOUSTON TX 77018","PASS"
"2015-07-02 00:00:00","NORMANDY CITGO","12776 EAST  FWY HOUSTON TX 77015","FAIL"
"2015-11-05 00:00:00","1ST STEP UNIVERSITY CHILD CARE","1402 STONEHOLLOW DR KINGWOOD TX 77339","PASS"
"2015-08-21 00:00:00","AL'S PIZZA HOUSE","757 W LITTLE YORK RD HOUSTON TX 77091","PASS"
"2016-02-02 00:00:00","EL TACO RICO      -    GUERO","2709 BROADWAY HOUSTON TX 77012","PASS"
"2015-08-08 00:00:00","TEXACO COUNTRY CLUB","12800 TEXACO HOUSTON TX 77013","PASS"
"2015-08-10 00:00:00","ALONTI DELI # 7","1221 MCKINNEY ST STE B HOUSTON TX 77010","PASS"
"2015-10-28 00:00:00","BIJAN PERSIAN GRILL","5922 HILLCROFT HOUSTON TX 77036","PASS"
"2015-11-13 00:00:00","EL TAQUITO RICO","3701 N MAIN HOUSTON TX 77009","PASS"
"2015-12-02 00:00:00","YOUTH DEVELOPMENT CENTER","7725 SANDRA ST HOUSTON TX 77016","PASS"
"2016-03-23 00:00:00","JOHN WARD ELEMENTARY SCHOOL","1440 BOULDERCREST HOUSTON TX 77062","PASS"
"2016-04-05 00:00:00","LUCKY DRAGON #7","7346 SAINT LO HOUSTON TX 77033","PASS"
"2016-02-15 00:00:00","EL DORADO FOOD MART","501 EL DORADO BLVD STE 2 HOUSTON TX 77598","PASS"
"2015-10-27 00:00:00","LAS CABAMAS#2","25 BERRY RD HOUSTON TX 77022-3055","FAIL"
"2015-10-26 00:00:00","HANK'S FISH  MARKET","4319 LOCKWOOD DR HOUSTON TX 77026","PASS"
"2015-10-15 00:00:00","SMILEY STOP","6905 BISSONNET STE A HOUSTON TX 77074","PASS"
"2015-08-21 00:00:00","WATKINS CENTER","10510 CULLEN BLVD HOUSTON TX 77047","PASS"
"2015-07-24 00:00:00","CAFE CHINO","3285 SOUTHWEST FWY HOUSTON TX 77027","PASS"
"2016-03-24 00:00:00","CHANGE HAPPENS! (PANTRY)","3353 ELGIN Houston TX 77004","PASS"
"2016-01-18 00:00:00","TAQUERIA ABASOLO","1109 HOGAN HOUSTON TX 77009","PASS"
"2015-11-24 00:00:00","D'LISH BAKE SHOP","9110 BELLAIRE STE A HOUSTON TX 77036","PASS"
"2015-11-12 00:00:00","SUBWAY","5326 W 34TH HOUSTON TX 77092","PASS"
"2015-12-14 00:00:00","TIME SQUARE  FUEL DEPOT","14647 S MAIN HOUSTON TX 77035","PASS"
"2015-07-15 00:00:00","GRACELAND KIDZ ACADEMY","8128 BRAEWICK HOUSTON TX 77074","PASS"
"2015-11-19 00:00:00","KOLLEGE 4 KIDZ LEARNING CENTER","9999 W MONTGOMERY STE D HOUSTON TX 77088","PASS"
"2016-01-19 00:00:00","MEHFIL GRILL AND GAME ROOM","11916 BISSONNET STE 174 Houston TX 77099","PASS"
"2015-12-11 00:00:00","KUBLAI KHAN","13708 NORTHWEST FWY HOUSTON TX 77040-5202","PASS"
"2015-09-29 00:00:00","SUBWAY","8466 HOWARD HOUSTON TX 77017","PASS"
"2016-01-06 00:00:00","JAX GRILL","1613 SHEPHERD HOUSTON TX 77007","FAIL"
"2015-08-19 00:00:00","ST. STEPHEN CATHOLIC CHURCH","1910 CENTER HOUSTON TX 77007","PASS"
"2016-05-19 00:00:00","HAI CANG HARBOR SEAFOOD RESTAURANT","11768 BELLAIRE BLVD HOUSTON TX 77082","PASS"
"2016-06-09 00:00:00","ANNA'S GOURMET GREEK  -  SOUTHWEST","777 POST OAK BLVD HOUSTON TX 77056","PASS"
"2015-11-25 00:00:00","WETZEL'S PRETZELS","500 BAYBROOK MALL STE 1176 HOUSTON TX 77546","PASS"
